"","Year","Solar","ShortForecasting","MediumForecasting","LongForecasting","Fit"
"1",1880,1.7,NA,NA,NA,1.76245070014526
"2",1881,1.87,NA,NA,NA,1.89332962767294
"3",1882,2.16,NA,NA,NA,2.19978360037657
"4",1883,2.24,NA,NA,NA,2.38183790694556
"5",1884,2.23,NA,NA,NA,2.22475281984981
"6",1885,2.44,NA,NA,NA,2.06252189531628
"7",1886,2.25,NA,NA,NA,2.28205965945303
"8",1887,1.97,NA,NA,NA,2.11722549513133
"9",1888,1.75,NA,NA,NA,1.55250222825736
"10",1889,1.69,NA,NA,NA,1.82646258514438
"11",1890,1.67,NA,NA,NA,1.65325876582418
"12",1891,1.68,NA,NA,NA,1.96811529410392
"13",1892,2,NA,NA,NA,1.89053952295801
"14",1893,2.49,NA,NA,NA,2.31919753073045
"15",1894,2.82,NA,NA,NA,2.6956177016761
"16",1895,3.03,NA,NA,NA,2.78481572714609
"17",1896,2.8,NA,NA,NA,2.84522323459571
"18",1897,2.46,NA,NA,NA,2.67559866565806
"19",1898,2.26,NA,NA,NA,2.34165878458082
"20",1899,2.14,NA,NA,NA,1.83764059771726
"21",1900,1.98,NA,NA,NA,2.20864715737821
"22",1901,1.87,NA,NA,NA,1.95075487004901
"23",1902,1.73,NA,NA,NA,2.17573197631279
"24",1903,1.68,NA,NA,NA,1.95262654655967
"25",1904,1.81,NA,NA,NA,2.02795457276857
"26",1905,1.39,NA,NA,NA,2.0440015278154
"27",1906,2.03,NA,NA,NA,1.41199814117089
"28",1907,1.54,NA,NA,NA,1.81297755749445
"29",1908,2.14,NA,NA,NA,1.42991618239474
"30",1909,2.5,NA,NA,NA,1.94773960740597
"31",1910,2.08,NA,NA,NA,2.02805560040047
"32",1911,2.45,NA,NA,NA,2.16763804651984
"33",1912,2.04,NA,NA,NA,2.38135026485245
"34",1913,1.35,NA,NA,NA,2.36611350181093
"35",1914,1.22,NA,NA,NA,1.61608160011156
"36",1915,1.86,NA,NA,NA,1.57609230256544
"37",1916,2.97,NA,NA,NA,2.05419527202366
"38",1917,3.26,NA,NA,NA,2.87233994032092
"39",1918,3.53,NA,NA,NA,3.06349390020766
"40",1919,3.92,NA,NA,NA,3.36642048419306
"41",1920,3.63,NA,NA,NA,3.74390787930469
"42",1921,3.06,NA,NA,NA,3.21259756831747
"43",1922,2.17,NA,NA,NA,3.16566748219004
"44",1923,2.41,NA,NA,NA,2.2004655980668
"45",1924,1.53,NA,NA,NA,2.69315997242963
"46",1925,1.67,NA,NA,NA,1.8076954994002
"47",1926,2.5,NA,NA,NA,2.00653198615281
"48",1927,3.62,NA,NA,NA,2.67892613812381
"49",1928,2.92,NA,NA,NA,3.52137712252649
"50",1929,3.22,NA,NA,NA,2.79987306866018
"51",1930,3.55,NA,NA,NA,3.05883416762776
"52",1931,3.84,NA,NA,NA,3.37731278657594
"53",1932,2.83,NA,NA,NA,3.37733874710479
"54",1933,2.82,NA,NA,NA,2.96549381743857
"55",1934,2.5,NA,NA,NA,2.78500392852522
"56",1935,2.24,NA,NA,NA,2.82152205678736
"57",1936,2.67,NA,NA,NA,2.47344213653835
"58",1937,3.09,NA,NA,NA,2.9823525750887
"59",1938,3.88,NA,NA,NA,3.30026651862733
"60",1939,3.84,NA,NA,NA,3.80965564957361
"61",1940,4.6,NA,NA,NA,3.67218899997917
"62",1941,3.93,NA,NA,NA,4.40185937676174
"63",1942,4.23,NA,NA,NA,3.83338396835786
"64",1943,3.21,NA,NA,NA,3.77281820961401
"65",1944,3.42,NA,NA,NA,3.34720655928609
"66",1945,2.9,NA,NA,NA,3.36880381549829
"67",1946,2.82,NA,NA,NA,3.23638652842511
"68",1947,4.41,NA,NA,NA,3.04151559094994
"69",1948,5.12,NA,NA,NA,4.634043218977
"70",1949,4.22,NA,NA,NA,5.30508797050485
"71",1950,4.68,NA,NA,NA,4.28063830328914
"72",1951,4.64,NA,NA,NA,4.48488162061969
"73",1952,4.22,NA,NA,NA,4.50188742546954
"74",1953,3.83,NA,NA,NA,4.10878471184297
"75",1954,3.26,NA,NA,NA,3.42419892601616
"76",1955,2.81,NA,NA,NA,3.36559520796369
"77",1956,3.05,NA,NA,NA,2.8060506658721
"78",1957,4.82,NA,NA,NA,3.33025575927213
"79",1958,5.57,NA,NA,NA,4.89646820375797
"80",1959,5.11,NA,NA,NA,5.85079529449306
"81",1960,5.02,NA,NA,NA,5.39062499607161
"82",1961,5.4,NA,NA,NA,5.02618786848271
"83",1962,3.86,NA,NA,NA,5.20807273878578
"84",1963,2.95,NA,NA,NA,3.83743224178391
"85",1964,2.91,NA,NA,NA,2.88269899602949
"86",1965,2.48,NA,NA,NA,2.47739201602386
"87",1966,2.31,NA,NA,NA,2.56999500881877
"88",1967,2.94,NA,NA,NA,2.28122254818547
"89",1968,3.4,NA,NA,NA,3.18709596637077
"90",1969,3.7,NA,NA,NA,3.5726358373394
"91",1970,3.45,NA,NA,NA,4.01837889168453
"92",1971,3.45,NA,NA,NA,3.71258699500131
"93",1972,3.13,NA,NA,NA,3.44349987340807
"94",1973,3.1,NA,NA,NA,2.98574610679571
"95",1974,3.63,NA,NA,NA,2.96033267054264
"96",1975,3.77,NA,NA,NA,3.44176533528429
"97",1976,3.01,NA,NA,NA,3.31541051152335
"98",1977,3.28,NA,NA,NA,3.12499312591214
"99",1978,3.02,NA,NA,NA,3.22070013935735
"100",1979,4.2,NA,NA,NA,3.33426959733497
"101",1980,3.81,NA,NA,NA,4.32284659805952
"102",1981,3.51,NA,NA,NA,4.17835921684355
"103",1982,4.65,NA,NA,NA,3.78017650022548
"104",1983,5.58,NA,NA,NA,4.55702439375115
"105",1984,3.97,NA,NA,NA,5.33637865302315
"106",1985,3.82,NA,NA,NA,3.9483766569882
"107",1986,3.04,NA,NA,NA,3.69437481967329
"108",1987,2.83,NA,NA,NA,2.66021407177977
"109",1988,3.02,NA,NA,NA,2.90682354794597
"110",1989,3.63,NA,NA,NA,2.96281346012125
"111",1990,4.97,NA,NA,NA,3.87729633295119
"112",1991,4.42,NA,NA,NA,5.07620246255606
"113",1992,5.65,NA,NA,NA,4.80060974698644
"114",1993,4.46,NA,NA,NA,5.80597791156944
"115",1994,3.52,NA,NA,NA,4.54013570294919
"116",1995,3.69,NA,NA,NA,3.43092545916224
"117",1996,2.99,NA,NA,NA,3.53974116204612
"118",1997,2.33,NA,NA,NA,2.89487588597791
"119",1998,2.51,NA,NA,NA,1.94111073775112
"120",1999,3.66,NA,NA,NA,2.55421764916131
"121",2000,3.68,NA,NA,NA,3.5260461561135
"122",2001,4.26,NA,NA,NA,3.96733876998461
"123",2002,3.71,NA,NA,NA,4.42655293927066
"124",2003,3.94,NA,NA,NA,4.09340087697019
"125",2004,4.35,NA,NA,NA,4.16973992124193
"126",2005,3.22,NA,NA,NA,4.30959768851349
"127",2006,3.22,NA,NA,NA,3.13541870968767
"128",2007,2.3,NA,NA,NA,3.08172636587133
"129",2008,1.96,NA,NA,NA,2.22097250161211
"130",2009,1.57,NA,NA,NA,1.54609327074
"131",2010,1.8,NA,NA,NA,1.6543855183076
"132",2011,1.3,NA,NA,NA,1.73633211604004
"133",2012,1.61913114457349,NA,NA,NA,1.62748875146088
"134",2013,1.76280382406327,NA,NA,NA,1.8022996517654
"135",2014,2.1353895716041,NA,NA,NA,2.0879711036857
"136",2015,2.27955290870039,NA,NA,NA,2.34462739593386
"137",2016,NA,2.25278888434042,2.25278888434042,2.25278888434042,NA
"138",2017,NA,2.08011048853221,2.08011048853221,2.08011048853221,NA
"139",2018,NA,1.94521581087874,1.94521581087874,1.94521581087874,NA
"140",2019,NA,1.8036816473606,1.8036816473606,1.8036816473606,NA
"141",2020,NA,1.36862263868745,1.36862263868745,1.36862263868745,NA
"142",2021,NA,1.45409676897001,1.45409676897001,1.45409676897001,NA
"143",2022,NA,1.40060920686883,1.40060920686883,1.40060920686883,NA
"144",2023,NA,1.69383156916721,1.69383156916721,1.69383156916721,NA
"145",2024,NA,1.87621099783568,1.87621099783568,1.87621099783568,NA
"146",2025,NA,2.19825800069058,2.19825800069058,2.19825800069058,NA
"147",2026,NA,2.41104580275607,2.41104580275607,2.41104580275607,NA
"148",2027,NA,2.37919356917743,2.37919356917743,2.37919356917743,NA
"149",2028,NA,2.20651517336922,2.20651517336922,2.20651517336922,NA
"150",2029,NA,2.07162049571575,2.07162049571575,2.07162049571575,NA
"151",2030,NA,1.93008633219761,1.93008633219761,1.93008633219761,NA
"152",2031,NA,1.49502732352446,1.49502732352446,1.49502732352446,NA
"153",2032,NA,1.58050145380701,1.58050145380701,1.58050145380701,NA
"154",2033,NA,1.52701389170584,1.52701389170584,1.52701389170584,NA
"155",2034,NA,1.82023625400421,1.82023625400421,1.82023625400421,NA
"156",2035,NA,2.00261568267269,2.00261568267269,2.00261568267269,NA
"157",2036,NA,2.32466268552759,2.32466268552759,2.32466268552759,NA
"158",2037,NA,2.53745048759307,2.53745048759307,2.53745048759307,NA
"159",2038,NA,2.50559825401443,2.50559825401443,2.50559825401443,NA
"160",2039,NA,2.33291985820623,2.33291985820623,2.33291985820623,NA
"161",2040,NA,2.19802518055275,2.19802518055275,2.19802518055275,NA
"162",2041,NA,NA,2.05649101703462,2.05649101703462,NA
"163",2042,NA,NA,1.62143200836147,1.62143200836147,NA
"164",2043,NA,NA,1.70690613864402,1.70690613864402,NA
"165",2044,NA,NA,1.65341857654284,1.65341857654284,NA
"166",2045,NA,NA,1.94664093884122,1.94664093884122,NA
"167",2046,NA,NA,2.1290203675097,2.1290203675097,NA
"168",2047,NA,NA,2.4510673703646,2.4510673703646,NA
"169",2048,NA,NA,2.66385517243008,2.66385517243008,NA
"170",2049,NA,NA,2.63200293885144,2.63200293885144,NA
"171",2050,NA,NA,2.45932454304324,2.45932454304324,NA
"172",2051,NA,NA,2.32442986538976,2.32442986538976,NA
"173",2052,NA,NA,2.18289570187163,2.18289570187163,NA
"174",2053,NA,NA,1.74783669319848,1.74783669319848,NA
"175",2054,NA,NA,1.83331082348103,1.83331082348103,NA
"176",2055,NA,NA,1.77982326137985,1.77982326137985,NA
"177",2056,NA,NA,2.07304562367823,2.07304562367823,NA
"178",2057,NA,NA,2.2554250523467,2.2554250523467,NA
"179",2058,NA,NA,2.5774720552016,2.5774720552016,NA
"180",2059,NA,NA,2.79025985726709,2.79025985726709,NA
"181",2060,NA,NA,2.75840762368845,2.75840762368845,NA
"182",2061,NA,NA,2.58572922788024,2.58572922788024,NA
"183",2062,NA,NA,2.45083455022677,2.45083455022677,NA
"184",2063,NA,NA,2.30930038670863,2.30930038670863,NA
"185",2064,NA,NA,1.87424137803548,1.87424137803548,NA
"186",2065,NA,NA,1.95971550831804,1.95971550831804,NA
"187",2066,NA,NA,NA,1.90622794621686,NA
"188",2067,NA,NA,NA,2.19945030851523,NA
"189",2068,NA,NA,NA,2.38182973718371,NA
"190",2069,NA,NA,NA,2.70387674003861,NA
"191",2070,NA,NA,NA,2.91666454210409,NA
"192",2071,NA,NA,NA,2.88481230852545,NA
"193",2072,NA,NA,NA,2.71213391271725,NA
"194",2073,NA,NA,NA,2.57723923506377,NA
"195",2074,NA,NA,NA,2.43570507154564,NA
"196",2075,NA,NA,NA,2.00064606287249,NA
"197",2076,NA,NA,NA,2.08612019315504,NA
"198",2077,NA,NA,NA,2.03263263105387,NA
"199",2078,NA,NA,NA,2.32585499335224,NA
"200",2079,NA,NA,NA,2.50823442202072,NA
"201",2080,NA,NA,NA,2.83028142487562,NA
"202",2081,NA,NA,NA,3.0430692269411,NA
"203",2082,NA,NA,NA,3.01121699336246,NA
"204",2083,NA,NA,NA,2.83853859755426,NA
"205",2084,NA,NA,NA,2.70364391990078,NA
"206",2085,NA,NA,NA,2.56210975638265,NA
"207",2086,NA,NA,NA,2.1270507477095,NA
"208",2087,NA,NA,NA,2.21252487799205,NA
"209",2088,NA,NA,NA,2.15903731589087,NA
"210",2089,NA,NA,NA,2.45225967818925,NA
"211",2090,NA,NA,NA,2.63463910685773,NA
"212",2091,NA,NA,NA,2.95668610971263,NA
"213",2092,NA,NA,NA,3.16947391177811,NA
"214",2093,NA,NA,NA,3.13762167819947,NA
"215",2094,NA,NA,NA,2.96494328239126,NA
"216",2095,NA,NA,NA,2.83004860473779,NA
"217",2096,NA,NA,NA,2.68851444121965,NA
"218",2097,NA,NA,NA,2.2534554325465,NA
"219",2098,NA,NA,NA,2.33892956282906,NA
"220",2099,NA,NA,NA,2.28544200072788,NA
"221",2100,NA,NA,NA,2.57866436302626,NA
"222",2101,NA,NA,NA,2.76104379169473,NA
"223",2102,NA,NA,NA,3.08309079454963,NA
"224",2103,NA,NA,NA,3.29587859661512,NA
"225",2104,NA,NA,NA,3.26402636303648,NA
"226",2105,NA,NA,NA,3.09134796722827,NA
"227",2106,NA,NA,NA,2.9564532895748,NA
"228",2107,NA,NA,NA,2.81491912605666,NA
"229",2108,NA,NA,NA,2.37986011738351,NA
"230",2109,NA,NA,NA,2.46533424766606,NA
"231",2110,NA,NA,NA,2.41184668556489,NA
"232",2111,NA,NA,NA,2.70506904786326,NA
"233",2112,NA,NA,NA,2.88744847653174,NA
"234",2113,NA,NA,NA,3.20949547938664,NA
"235",2114,NA,NA,NA,3.42228328145212,NA
"236",2115,NA,NA,NA,3.39043104787348,NA
